,Material,N_p,L_t,P_t,N_t,d_o,d_i,A,d_shell,V_tubes,V_shell,h_o,h_i,U,e,D_s/L_t
56,0,2,9.6,0.0333375,63,0.02667,0.0209296,50.67393977,0.366261813,0.911779402,20.1810345,9017.707558,5180.392836,2698.981582,0.81334086,0.038152272
57,0,2,9.7,0.0333375,63,0.02667,0.0209296,51.20179331,0.366261813,0.911779402,20.1810345,9048.910947,5180.392836,2701.769999,0.816897163,0.03775895
58,0,2,9.8,0.0333375,62,0.02667,0.0209296,50.90854134,0.363897805,0.926485522,20.44409236,9067.948543,5247.129491,2726.525321,0.817945703,0.037132429
59,0,2,9.9,0.0333375,61,0.02667,0.0209296,50.59853212,0.361512851,0.941673809,20.71472757,9086.823922,5315.832226,2751.792795,0.818911117,0.03651645
60,0,2,10,0.0333375,61,0.02667,0.0209296,51.1096284,0.361512851,0.941673809,20.71472757,9117.316849,5315.832226,2754.582714,0.822321141,0.036151285
61,0,2,10.1,0.0333375,60,0.02667,0.0209296,50.7744833,0.359106418,0.957368373,20.99328366,9097.344568,5386.59264,2776.82727,0.822770355,0.035555091
62,0,2,10.2,0.0333375,60,0.02667,0.0209296,51.27720096,0.359106418,0.957368373,20.99328366,9127.270259,5386.59264,2779.60904,0.826085466,0.035206512
63,0,2,10.3,0.0333375,59,0.02667,0.0209296,50.91691997,0.356677948,0.973594955,21.28012567,9144.348007,5459.508221,2805.84609,0.826797877,0.034628927
64,0,2,10.4,0.0333375,58,0.02667,0.0209296,50.53988173,0.354226861,0.990381075,21.57564185,9161.296652,5534.682836,2832.65079,0.827427598,0.034060275
65,0,2,10.5,0.0333375,58,0.02667,0.0209296,51.02584213,0.354226861,0.990381075,21.57564185,9190.566169,5534.682836,2835.442886,0.830614904,0.033735892
66,0,2,10.6,0.0333375,57,0.02667,0.0209296,50.623668,0.351752552,1.007756182,21.88024556,9166.356465,5612.227262,2858.900571,0.830712936,0.033184203
67,0,2,10.7,0.0333375,57,0.02667,0.0209296,51.10124978,0.351752552,1.007756182,21.88024556,9195.091313,5612.227262,2861.689759,0.833816855,0.03287407
68,0,2,10.8,0.0333375,56,0.02667,0.0209296,50.67393977,0.349254387,1.025751828,22.19437734,9210.235639,5692.259781,2889.566013,0.834203436,0.032338369
69,0,2,10.9,0.0333375,56,0.02667,0.0209296,51.14314291,0.349254387,1.025751828,22.19437734,9238.575004,5692.259781,2892.349555,0.837223906,0.032041687
70,0,2,11,0.0333375,55,0.02667,0.0209296,50.69069702,0.346731704,1.044401861,22.51850728,9253.410089,5774.906832,2920.881628,0.837498709,0.031521064
71,0,2,11.1,0.0333375,55,0.02667,0.0209296,51.15152154,0.346731704,1.044401861,22.51850728,9281.36618,5774.906832,2923.661365,0.840439661,0.03123709
72,0,2,11.2,0.0333375,54,0.02667,0.0209296,50.67393977,0.34418381,1.063742636,22.85313748,9252.390317,5860.303735,2948.470766,0.84016705,0.030730697
73,0,2,11.3,0.0333375,54,0.02667,0.0209296,51.12638566,0.34418381,1.063742636,22.85313748,9279.845642,5860.303735,2951.253266,0.843036752,0.030458744
74,0,2,11.4,0.0333375,53,0.02667,0.0209296,50.623668,0.341609978,1.083813252,23.19880493,9292.858714,5948.595496,2980.973897,0.843077046,0.029965788
75,0,2,11.5,0.0333375,53,0.02667,0.0209296,51.06773527,0.341609978,1.083813252,23.19880493,9319.95175,5948.595496,2983.756275,0.845874756,0.029705215
76,0,2,11.6,0.0333375,52,0.02667,0.0209296,50.53988173,0.339009447,1.104655814,23.55608458,9332.709037,6039.937696,3014.210942,0.845807005,0.029224952
77,0,2,11.7,0.0333375,52,0.02667,0.0209296,50.97557036,0.339009447,1.104655814,23.55608458,9359.45047,6039.937696,3016.994978,0.848536215,0.028975166
78,0,2,11.8,0.0333375,51,0.02667,0.0209296,50.42258094,0.33638142,1.126315732,23.92559284,9325.483178,6134.497485,3043.280685,0.847897345,0.0285069
79,0,2,11.9,0.0333375,51,0.02667,0.0209296,50.84989095,0.33638142,1.126315732,23.92559284,9351.752284,6134.497485,3046.072993,0.850566154,0.028267346
80,0,2,12,0.0333375,51,0.02667,0.0209296,51.27720096,0.33638142,1.126315732,23.92559284,9377.874632,6134.497485,3048.839231,0.853190026,0.028031785
785,1,2,9.6,0.0333375,63,0.02667,0.0209296,50.67393977,0.366261813,0.911779402,20.1810345,9017.707558,5180.392836,2740.231105,0.818068274,0.038152272
786,1,2,9.7,0.0333375,63,0.02667,0.0209296,51.20179331,0.366261813,0.911779402,20.1810345,9048.910947,5180.392836,2743.105451,0.821591825,0.03775895
787,1,2,9.8,0.0333375,62,0.02667,0.0209296,50.90854134,0.363897805,0.926485522,20.44409236,9067.948543,5247.129491,2768.627629,0.822672069,0.037132429
788,1,2,9.9,0.0333375,61,0.02667,0.0209296,50.59853212,0.361512851,0.941673809,20.71472757,9086.823922,5315.832226,2794.685205,0.823670697,0.03651645
789,1,2,10,0.0333375,61,0.02667,0.0209296,51.1096284,0.361512851,0.941673809,20.71472757,9117.316849,5315.832226,2797.56282,0.827047148,0.036151285
790,1,2,10.1,0.0333375,60,0.02667,0.0209296,50.7744833,0.359106418,0.957368373,20.99328366,9097.344568,5386.59264,2820.509853,0.827529426,0.035555091
791,1,2,10.2,0.0333375,60,0.02667,0.0209296,51.27720096,0.359106418,0.957368373,20.99328366,9127.270259,5386.59264,2823.379877,0.83081052,0.035206512
792,1,2,10.3,0.0333375,59,0.02667,0.0209296,50.91691997,0.356677948,0.973594955,21.28012567,9144.348007,5459.508221,2850.453772,0.831559067,0.034628927
793,1,2,10.4,0.0333375,58,0.02667,0.0209296,50.53988173,0.354226861,0.990381075,21.57564185,9161.296652,5534.682836,2878.121739,0.832226689,0.034060275
794,1,2,10.5,0.0333375,58,0.02667,0.0209296,51.02584213,0.354226861,0.990381075,21.57564185,9190.566169,5534.682836,2881.004239,0.83537933,0.033735892
795,1,2,10.6,0.0333375,57,0.02667,0.0209296,50.623668,0.351752552,1.007756182,21.88024556,9166.356465,5612.227262,2905.225062,0.835515606,0.033184203
796,1,2,10.7,0.0333375,57,0.02667,0.0209296,51.10124978,0.351752552,1.007756182,21.88024556,9195.091313,5612.227262,2908.105417,0.838584531,0.03287407
797,1,2,10.8,0.0333375,56,0.02667,0.0209296,50.67393977,0.349254387,1.025751828,22.19437734,9210.235639,5692.259781,2936.897841,0.839012568,0.032338369
798,1,2,10.9,0.0333375,56,0.02667,0.0209296,51.14314291,0.349254387,1.025751828,22.19437734,9238.575004,5692.259781,2939.773365,0.841997619,0.032041687
799,1,2,11,0.0333375,55,0.02667,0.0209296,50.69069702,0.346731704,1.044401861,22.51850728,9253.410089,5774.906832,2969.253517,0.84231585,0.031521064
800,1,2,11.1,0.0333375,55,0.02667,0.0209296,51.15152154,0.346731704,1.044401861,22.51850728,9281.36618,5774.906832,2972.126131,0.845220996,0.03123709
801,1,2,11.2,0.0333375,54,0.02667,0.0209296,50.67393977,0.34418381,1.063742636,22.85313748,9252.390317,5860.303735,2997.768474,0.844992821,0.030730697
802,1,2,11.3,0.0333375,54,0.02667,0.0209296,51.12638566,0.34418381,1.063742636,22.85313748,9279.845642,5860.303735,3000.644843,0.847826505,0.030458744
803,1,2,11.4,0.0333375,53,0.02667,0.0209296,50.623668,0.341609978,1.083813252,23.19880493,9292.858714,5948.595496,3031.373774,0.847914504,0.029965788
804,1,2,11.5,0.0333375,53,0.02667,0.0209296,51.06773527,0.341609978,1.083813252,23.19880493,9319.95175,5948.595496,3034.251078,0.850675876,0.029705215
805,1,2,11.6,0.0333375,52,0.02667,0.0209296,50.53988173,0.339009447,1.104655814,23.55608458,9332.709037,6039.937696,3065.75069,0.850658184,0.029224952
806,1,2,11.7,0.0333375,52,0.02667,0.0209296,50.97557036,0.339009447,1.104655814,23.55608458,9359.45047,6039.937696,3068.630794,0.853350764,0.028975166
807,1,2,11.8,0.0333375,51,0.02667,0.0209296,50.42258094,0.33638142,1.126315732,23.92559284,9325.483178,6134.497485,3095.828015,0.852763658,0.0285069
808,1,2,11.9,0.0333375,51,0.02667,0.0209296,50.84989095,0.33638142,1.126315732,23.92559284,9351.752284,6134.497485,3098.717628,0.855395719,0.028267346
809,1,2,12,0.0333375,51,0.02667,0.0209296,51.27720096,0.33638142,1.126315732,23.92559284,9377.874632,6134.497485,3101.580355,0.857982629,0.028031785
1514,2,2,9.6,0.0333375,63,0.02667,0.0209296,50.67393977,0.366261813,0.911779402,20.1810345,9017.707558,5180.392836,2056.955119,0.721740438,0.038152272
1515,2,2,9.7,0.0333375,63,0.02667,0.0209296,51.20179331,0.366261813,0.911779402,20.1810345,9048.910947,5180.392836,2058.574319,0.725702882,0.03775895
1516,2,2,9.8,0.0333375,62,0.02667,0.0209296,50.90854134,0.363897805,0.926485522,20.44409236,9067.948543,5247.129491,2072.914633,0.726127928,0.037132429
1517,2,2,9.9,0.0333375,61,0.02667,0.0209296,50.59853212,0.361512851,0.941673809,20.71472757,9086.823922,5315.832226,2087.487394,0.726446162,0.03651645
1518,2,2,10,0.0333375,61,0.02667,0.0209296,51.1096284,0.361512851,0.941673809,20.71472757,9117.316849,5315.832226,2089.092492,0.730276282,0.036151285
1519,2,2,10.1,0.0333375,60,0.02667,0.0209296,50.7744833,0.359106418,0.957368373,20.99328366,9097.344568,5386.59264,2101.8622,0.730104848,0.035555091
