Column1,Material,N_p,L_t,P_t,N_t,d_o,d_i,A,d_shell,V_tubes,V_shell,h_o,h_i,U,e,A_req,U_o_guess,T_o,dT_lm,m_dot_c,D_s/Lt
309515,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,47.93931915,1100,65,46.3561575,23.37958717,0.067827494
309610,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,31.71924876,1662.5,65,46.3561575,23.37958717,0.067827494
309705,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,23.70033756,2225,65,46.3561575,23.37958717,0.067827494
309800,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,18.91775823,2787.5,65,46.3561575,23.37958717,0.067827494
309895,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,15.74126897,3350,65,46.3561575,23.37958717,0.067827494
309990,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,13.47814724,3912.5,65,46.3561575,23.37958717,0.067827494
310085,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,11.78396672,4475,65,46.3561575,23.37958717,0.067827494
310180,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,10.46813917,5037.5,65,46.3561575,23.37958717,0.067827494
310275,0,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2688.160344,0.658680624,9.416651976,5600,65,46.3561575,23.37958717,0.067827494
340295,1,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2729.077253,0.664219777,47.93931915,1100,65,46.3561575,23.37958717,0.067827494
340390,1,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2729.077253,0.664219777,31.71924876,1662.5,65,46.3561575,23.37958717,0.067827494
340485,1,6,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.452183294,0.983734113,13.02812715,8146.599942,5408.311962,2729.077253,0.664219777,23.70033756,2225,65,46.3561575,23.37958717,0.067827494
